"id","TYPE","gender","NAME","description","icon_id","part","is_up_to_up","power_require"
"0","0","0","Áo vải 3 lỗ","Giúp giảm sát thương","390","14","0","1200"
"1","0","1","Áo sợi len","Giúp giảm sát thương","393","10","0","1200"
"2","0","2","Áo vải thô","Giúp giảm sát thương","392","16","0","1200"
"3","0","0","Áo vải dày","Giúp giảm sát thương","389","1","0","26000"
"4","0","1","Áo len Pico","Giúp giảm sát thương","394","12","0","26000"
"5","0","2","Áo giáp sắt","Giúp giảm sát thương","391","7","0","26000"
"6","1","0","Quần vải đen","Giúp tăng HP","396","15","0","1000"
"7","1","1","Quần sợi len","Giúp tăng HP","398","11","0","1000"
"8","1","2","Quần vải thô","Giúp tăng HP","400","17","0","1000"
"9","1","0","Quần vải dày","Giúp tăng HP","395","2","0","22000"
"10","1","1","Quần vải thô Pico","Giúp tăng HP","397","13","0","22000"
"11","1","2","Quần giáp sắt","Giúp tăng HP","399","8","0","22000"
"12","4","3","Rada cấp 1","Giúp tăng Chí Mạng","1089","-1","0","1300"
"13","6","3","Đậu thần cấp 1","Thức ăn phục hồi HP và KI","241","-1","0","1"
"14","12","3","Ngọc Rồng 1 sao","Thu thập để ước rồng thần","419","-1","0","0"
"15","12","3","Ngọc Rồng 2 sao","Thu thập để ước rồng thần","420","-1","0","0"
"16","12","3","Ngọc Rồng 3 sao","Thu thập để ước rồng thần","421","-1","0","0"
"17","12","3","Ngọc Rồng 4 sao","Thu thập để ước rồng thần","422","-1","0","0"
"18","12","3","Ngọc Rồng 5 sao","Thu thập để ước rồng thần","423","-1","0","0"
"19","12","3","Ngọc Rồng 6 sao","Thu thập để ước rồng thần","424","-1","0","0"
"20","12","3","Ngọc Rồng 7 sao","Thu thập để ước rồng thần","425","-1","0","0"
"21","2","0","Găng vải đen","Giúp tăng sức đánh","408","-1","0","1500"
"22","2","1","Găng sợi len","Giúp tăng sức đánh","411","-1","0","1500"
"23","2","2","Găng vải thô","Giúp tăng sức đánh","409","-1","0","1500"
"24","2","0","Găng thun đen","Giúp tăng sức đánh","408","-1","0","15000"
"25","2","1","Găng len Pico","Giúp tăng sức đánh","412","-1","0","50000"
"26","2","2","Găng sắt","Giúp tăng sức đánh","410","-1","0","50000"
"27","3","0","Giầy nhựa","Giúp tăng MP","401","-1","0","800"
"28","3","1","Giầy sợi len","Giúp tăng MP","405","-1","0","800"
"29","3","2","Giầy vải thô","Giúp tăng MP","403","-1","0","800"
"30","3","0","Giầy cao su","Giúp tăng MP","401","-1","0","8000"
"31","3","1","Giầy nhựa Pico","Giúp tăng MP","406","-1","0","18000"
"32","3","2","Giầy sắt","Giúp tăng MP","404","-1","0","18000"
"33","0","0","Áo thun 3 lỗ","Giúp giảm sát thương","390","14","0","12000"
"34","0","0","Áo thun dày","Giúp giảm sát thương","389","1","0","80000"
"35","1","0","Quần thun đen","Giúp tăng HP","396","15","0","10000"
"36","1","0","Quần thun dày","Giúp tăng HP","395","2","0","66000"
"37","2","0","Găng vải dày","Giúp tăng sức đánh","407","-1","0","50000"
"38","2","0","Găng thun dày","Giúp tăng sức đánh","407","-1","0","200000"
"39","3","0","Giày nhựa đế dày","Giúp tăng MP","402","-1","0","18000"
"40","3","0","Giày cao su đế dày","Giúp tăng MP","402","-1","0","53000"
"41","0","1","Áo sợi gai","Giúp giảm sát thương","393","10","0","12000"
"42","0","1","Áo thun Pico","Giúp giảm sát thương","394","12","0","80000"
"43","1","1","Quần sợi gai","Giúp tăng HP","398","11","0","10000"
"44","1","1","Quần thun Pico","Giúp tăng HP","397","13","0","66000"
"45","2","1","Găng thun Pico","Giúp tăng sức đánh","412","-1","0","200000"
"46","2","1","Găng sợi gai","Giúp tăng sức đánh","411","-1","0","15000"
"47","3","1","Giầy sợi gai","Giúp tăng MP","405","-1","0","8000"
"48","3","1","Giầy cao su Pico","Giúp tăng MP","406","-1","0","53000"
"49","0","2","Áo thun thô","Giúp giảm sát thương","392","16","0","12000"
"50","0","2","Áo giáp đồng","Giúp giảm sát thương","391","7","0","80000"
"51","1","2","Quần thun thô","Giúp tăng HP","400","17","0","10000"
"52","1","2","Quần giáp đồng","Giúp tăng HP","399","8","0","66000"
